DAQch	View	Vchannel	FEMB	FEMBch	ASIC	ASICch	gain	error
97	1	76	1	86	6	6	22.433	0.108
98	1	77	1	85	6	5	21.905	0.078
99	1	79	1	84	6	4	21.556	0.087
100	3	8	1	100	7	4	22.900	-1.000
101	3	9	1	101	7	5	22.900	-1.000
102	3	10	1	102	7	6	22.900	-1.000
103	3	11	1	103	7	7	22.900	-1.000
104	1	72	1	119	8	7	23.266	0.092
105	1	71	1	118	8	6	22.965	0.091
106	0	28	1	117	8	5	23.443	0.047
107	1	68	1	116	8	4	23.783	0.094
108	0	27	1	115	8	3	24.599	0.050
109	1	65	1	114	8	2	22.439	0.087
110	1	64	1	113	8	1	23.650	0.091
111	1	62	1	112	8	0	22.543	0.094
112	1	63	1	95	6	15	22.833	0.098
113	0	26	1	94	6	14	23.468	0.044
114	1	66	1	93	6	13	24.229	0.101
115	1	67	1	92	6	12	23.108	0.100
116	1	69	1	91	6	11	23.244	0.101
117	1	70	1	90	6	10	22.073	0.091
118	0	29	1	89	6	9	22.309	0.047
119	1	73	1	88	6	8	21.141	0.104
120	3	12	1	120	8	8	22.900	-1.000
121	3	13	1	121	8	9	22.900	-1.000
122	3	14	1	122	8	10	22.900	-1.000
123	3	15	1	123	8	11	22.900	-1.000
124	1	78	1	123	8	11	23.649	0.097
125	0	31	1	122	8	10	22.636	0.059
126	1	75	1	121	8	9	24.388	0.104
127	1	74	1	120	8	8	24.409	0.099
128	0	46	2	7	1	7	22.156	0.088
129	1	116	2	6	1	6	22.453	0.123
130	1	117	2	5	1	5	22.275	0.123
131	1	119	2	4	1	4	22.008	0.125
132	3	16	2	4	1	4	22.900	-1.000
133	3	17	2	5	1	5	22.900	-1.000
134	3	18	2	6	1	6	22.900	-1.000
135	3	19	2	7	1	7	22.900	-1.000
136	1	112	2	39	3	7	22.869	0.138
137	1	111	2	38	3	6	22.908	0.131
138	0	44	2	37	3	5	23.454	0.094
139	1	108	2	36	3	4	23.050	0.126
140	0	43	2	35	3	3	24.096	0.129
141	1	105	2	34	3	2	21.877	0.119
142	1	104	2	33	3	1	22.618	0.134
143	1	102	2	32	3	0	22.238	0.145
144	1	103	2	15	1	15	22.214	0.117
145	0	42	2	14	1	14	22.925	0.087
146	1	106	2	13	1	13	23.672	0.123
147	1	107	2	12	1	12	23.211	0.119
148	1	109	2	11	1	11	23.852	0.130
149	1	110	2	10	1	10	22.780	0.132
150	0	45	2	9	1	9	23.051	0.096
151	1	113	2	8	1	8	22.635	0.128
152	3	20	2	24	2	8	22.900	-1.000
153	3	21	2	25	2	9	22.900	-1.000
154	3	22	2	26	2	10	22.900	-1.000
155	3	23	2	27	2	11	22.900	-1.000
156	1	118	2	43	3	11	23.254	0.128
157	0	47	2	42	3	10	22.487	0.102
158	1	115	2	41	3	9	23.107	0.126
159	1	114	2	40	3	8	23.170	0.134
160	0	37	2	23	2	7	22.731	0.078
161	1	93	2	22	2	6	22.298	0.145
162	0	38	2	21	2	5	22.137	0.082
163	1	96	2	20	2	4	21.851	0.129
164	1	97	2	19	2	3	21.643	0.133
165	1	99	2	18	2	2	21.533	0.122
166	1	100	2	17	2	1	21.097	0.120
167	0	41	2	16	2	0	20.317	0.082
168	0	36	2	55	4	7	22.710	0.080
169	1	88	2	54	4	6	21.802	0.134
170	0	35	2	53	4	5	22.827	0.064
171	1	85	2	52	4	4	22.900	-1.000
172	1	84	2	51	4	3	22.900	-1.000
173	1	82	2	50	4	2	22.418	0.122
174	1	81	2	49	4	1	20.710	0.090
175	0	32	2	48	4	0	20.682	0.055
176	1	80	2	31	2	15	23.138	0.115
177	0	33	2	30	2	14	22.359	0.060
178	1	83	2	29	2	13	23.622	0.127
179	0	34	2	28	2	12	22.768	0.070
180	1	86	2	27	2	11	23.337	0.141
181	1	87	2	26	2	10	23.518	0.126
182	1	89	2	25	2	9	22.251	0.132
183	1	90	2	24	2	8	22.588	0.132
184	1	101	2	63	4	15	22.678	0.121
185	0	40	2	62	4	14	21.831	0.097
186	1	98	2	61	4	13	22.710	0.135
